state_code,state,median_age,male_population,female_population,total_population,veterans_num,foreign_born_population,avg_household_size,american_indian_alaska_native,asian,african_american,hispanic_latino,white
MT,Montana,35,87707,93587,181294,13854,5977,2,9684,4165,3349,10000,169026
NC,North Carolina,33,1466105,1594094,3060199,166146,379327,2,35209,178740,1029446,354409,1790136
MD,Maryland,36,627951,684178,1312129,64143,229794,2,16155,128839,573768,138644,594522
CO,Colorado,35,1454619,1481050,2935669,187896,337631,2,62613,148790,208043,703722,2463916
CT,Connecticut,34,432157,453424,885581,24953,225866,2,10729,48311,231822,309992,505674
IL,Illinois,35,2218541,2343771,4562312,146701,941735,2,35097,374589,1130574,1215659,2620068
NJ,New Jersey,35,705736,723172,1428908,30195,477028,2,11350,116844,452202,600437,615083
DE,Delaware,36,32680,39277,71957,3063,3336,2,414,1193,44182,5516,23743
DC,District of Columbia,33,319705,352523,672228,25963,95117,2,6130,35072,328786,71129,285402
TN,Tennessee,34,1031836,1120724,2152560,117901,181405,2,17638,73024,810758,167962,1253142
LA,Louisiana,34,626998,673597,1300595,69771,83419,2,8263,38739,602377,87133,654578
AR,Arkansas,32,286479,303400,589879,31704,62108,2,9381,22062,149608,77813,384733
AK,Alaska,32,152945,145750,298695,27492,33258,2,36339,36825,23107,27261,212696
CA,California,36,12278281,12544179,24822460,928270,7448257,3,401386,4543730,2047009,9856464,14905129
NM,New Mexico,37,409010,430032,839042,60474,89112,2,42428,32658,35853,417026,651564
UT,Utah,30,530818,519773,1050591,39671,132819,3,18746,48801,21893,201695,889798
MI,Michigan,37,1056446,1147014,2203460,99481,249772,2,27962,125172,853877,149932,1214721
NY,New York,35,4692055,5123571,9815626,204901,3438081,2,112816,1373373,2605008,2730185,4555686
NH,New Hampshire,37,97771,100427,198198,11005,27199,2,1213,13989,11043,22473,174085
WA,Washington,35,1245605,1254502,2500107,153126,440962,2,60248,346995,187584,324070,1913484
IA,Iowa,32,361176,372635,733811,39898,63687,2,9141,43230,75166,66424,610814
ME,Maine,40,31480,35392,66872,3666,9229,2,662,3696,5750,2031,59722
KY,Kentucky,35,452483,477394,929877,56025,66488,2,7772,32667,202749,50478,705790
FL,Florida,39,3236773,3487375,6796738,388228,1688931,2,46759,264933,1652619,1942022,4758144
TX,Texas,33,7063571,7236412,14299983,693501,2942164,2,154497,924552,2130242,6311431,10508923
MN,Minnesota,35,702157,720246,1422403,64894,215873,2,25242,151544,216731,103229,1050239
AL,Alabama,36,497248,552381,1049629,71543,52154,2,8084,28769,521068,39313,498920
PA,Pennsylvania,34,1117708,1213148,2330856,104850,290860,2,31849,159308,851200,387081,1245618
RI,Rhode Island,37,202816,210746,413562,18607,87365,2,6369,24245,55556,109226,287304
WI,Wisconsin,33,688803,724342,1413145,61134,124687,2,24720,73982,316896,202117,974433
IN,Indiana,33,910346,972407,1882753,92165,147233,2,16532,77906,461089,177784,1329286
SD,South Dakota,37,122718,122380,245098,16087,15309,2,13782,6859,13121,12359,213281
VA,Virginia,34,1160474,1203148,2363622,229766,269254,2,26160,167784,771569,216760,1428158
HI,Hawaii,41,176807,175959,352766,23213,101312,2,5592,240978,11781,24586,110508
GA,Georgia,33,820321,890711,1711032,104515,147785,2,15746,94136,779361,114366,830002
MS,Mississippi,33,112147,130536,242683,14792,4861,2,323,2587,167366,7264,71645
ND,North Dakota,34,95235,94255,189490,10299,11492,2,7142,5576,8177,5234,172068
MO,Missouri,34,733262,785932,1519194,91453,99095,2,18550,55349,360720,99147,1085809
KS,Kansas,34,564145,584129,1148274,64789,118645,2,24204,68689,141075,165678,927169
AZ,Arizona,35,2227455,2272087,4499542,264505,682313,2,129708,229183,296222,1508157,3591611
PR,Puerto Rico,40,455870,534356,990226,"","","",17387,2687,0,977192,0
SC,South Carolina,34,260944,272713,533657,33463,27744,2,3705,13355,175064,29863,343764
OH,Ohio,35,1177546,1256143,2433689,127372,175219,2,31808,86006,877366,164686,1491755
NE,Nebraska,33,357333,363900,721233,39197,71221,2,10599,34243,80668,83812,600094
OK,Oklahoma,33,714573,734422,1448995,95468,151174,2,124667,71344,228888,219469,1085135
OR,Oregon,36,707443,729066,1436509,78948,185753,2,38597,117279,72150,201498,1235819
NV,Nevada,36,1118645,1122099,2240744,152047,481337,2,35390,254593,269791,689798,1531724
ID,Idaho,34,199103,199780,398883,26380,28126,2,6705,13985,7822,48142,370314
MA,Massachusetts,35,975713,1039744,2015457,66076,520597,2,17060,218113,378624,434271,1272935
